"Date","Google","bing","Yahoo!","Baidu","YANDEX","YANDEX RU","Ask Jeeves","DuckDuckGo","Naver","AOL","Haosou","Sogou","Babylon","Shenma","Seznam","Conduit","MSN","Mail.ru","Ecosia","Webcrawler","Daum","CocCoc","StartPagina (Google)","AVG Search","SweetIM","Windows Live","Other"
2009-01,90.25,0,5.91,0,0,0.16,0.4,0,0,0.48,0,0,0,0,0,0,1.37,0,0,0,0,0,0.07,0,0,1.09,0.28
2009-02,89.69,0,5.74,0,0,0.19,0.39,0,0.01,0.46,0,0,0,0,0,0,1.46,0,0,0,0,0,0.07,0,0,1.79,0.2
2009-03,89.14,0,6.01,0.21,0,0.18,0.41,0,0.01,0.51,0,0,0,0,0,0,1.46,0,0,0.01,0,0,0.07,0,0,1.8,0.19
2009-04,89.91,0,5.47,0.22,0,0.2,0.37,0,0.02,0.44,0,0,0,0,0.03,0,1.25,0,0,0.04,0,0,0.05,0,0,1.81,0.18
2009-05,89.86,0,5.25,0.38,0,0.21,0.4,0,0.02,0.43,0,0,0,0,0.03,0,1.3,0,0,0.04,0,0,0.06,0,0,1.86,0.17
2009-06,89.85,3.24,5.14,0.46,0,0.2,0.34,0,0.02,0.4,0,0,0,0,0.08,0,0.01,0,0,0.04,0,0,0.05,0,0,0.02,0.15
2009-07,89.28,3.57,5.17,0.5,0,0.19,0.32,0,0.01,0.39,0,0,0,0,0.32,0,0,0,0,0.04,0,0,0.05,0,0,0,0.15
2009-08,89.62,3.55,4.82,0.58,0,0.19,0.33,0,0.01,0.37,0,0,0,0,0.31,0,0,0,0,0.03,0,0,0.05,0,0,0,0.14
2009-09,90.6,3.22,4.34,0.46,0,0.19,0.33,0,0.01,0.34,0,0,0,0,0.27,0,0,0,0,0.03,0,0,0.05,0,0,0,0.14
2009-10,90.86,3.28,4.08,0.4,0,0.24,0.33,0,0.02,0.29,0,0,0,0,0.27,0,0,0,0,0.02,0,0,0.05,0,0,0,0.13
2009-11,91.43,2.96,3.93,0.31,0,0.23,0.36,0,0.03,0.29,0,0,0,0,0.25,0,0,0,0,0.02,0,0,0.05,0,0,0,0.14
2009-12,91.3,3.23,3.87,0.34,0,0.24,0.35,0,0.03,0.27,0,0,0,0,0.17,0,0,0,0,0.02,0,0,0.05,0,0,0,0.13
2010-01,90.86,3.37,4.08,0.36,0,0.25,0.41,0,0.08,0.29,0,0,0,0,0.08,0,0,0,0,0.03,0,0,0.06,0,0,0,0.14
2010-02,90.6,3.6,4.14,0.3,0,0.24,0.45,0,0.07,0.31,0,0,0,0,0.05,0,0,0,0,0.03,0,0,0.06,0,0,0,0.15
2010-03,90.67,3.51,4.15,0.33,0,0.23,0.42,0,0.14,0.28,0,0,0,0,0.05,0,0,0,0,0.03,0,0,0.06,0,0,0,0.14
2010-04,90.53,3.51,4.22,0.42,0,0.23,0.41,0,0.12,0.29,0,0,0,0,0.04,0,0.01,0,0,0.03,0,0,0.05,0,0,0,0.13
2010-05,90.6,3.48,4.22,0.37,0,0.23,0.4,0,0.12,0.3,0,0,0,0,0.05,0,0.01,0,0,0.03,0,0,0.06,0,0,0,0.13
2010-06,90.25,3.67,4.32,0.4,0,0.23,0.41,0,0.15,0.31,0,0,0,0,0.05,0,0.01,0,0,0.03,0,0,0.05,0,0,0,0.13
2010-07,90.79,3.66,3.81,0.36,0,0.25,0.43,0,0.13,0.29,0,0,0,0,0.06,0,0.01,0,0,0.03,0,0,0.05,0,0,0,0.13
2010-08,91.44,3.32,3.58,0.32,0,0.27,0.41,0,0.13,0.26,0,0,0,0,0.06,0,0.01,0,0,0.03,0,0,0.06,0,0,0,0.11
2010-09,91.59,3.34,3.46,0.28,0,0.3,0.4,0,0.13,0.23,0,0,0,0,0.05,0,0.01,0,0,0.03,0.03,0,0.05,0,0,0,0.11
2010-10,91.41,3.38,3.54,0.27,0,0.33,0.4,0,0.18,0.21,0,0,0,0,0.04,0,0,0,0,0.03,0.05,0,0.05,0,0,0,0.09
2010-11,91.13,3.31,3.84,0.33,0,0.34,0.38,0,0.21,0.21,0,0,0,0,0.05,0,0,0,0,0.03,0.04,0,0.05,0,0,0,0.08
2010-12,90.82,3.39,4.02,0.32,0,0.35,0.37,0,0.28,0.2,0,0,0,0,0.05,0,0,0,0,0.03,0.05,0,0.05,0,0,0,0.08
2011-01,90.4,4.12,3.88,0.32,0,0.31,0.35,0,0.19,0.2,0,0,0,0,0.05,0,0,0,0,0.03,0.04,0,0.05,0,0,0,0.08
2011-02,90.23,4.22,3.84,0.3,0,0.34,0.34,0,0.21,0.19,0,0,0,0,0.04,0,0,0,0,0.03,0.03,0,0.05,0.05,0,0,0.12
2011-03,90.41,4.07,3.85,0.33,0,0.37,0.31,0,0.17,0.18,0,0,0,0,0.04,0,0,0,0,0.02,0.03,0,0.04,0.05,0,0,0.12
2011-04,90.61,3.84,3.72,0.52,0,0.34,0.33,0,0.17,0.19,0,0,0,0,0.04,0,0,0,0,0.02,0.03,0,0.04,0.06,0,0,0.11
2011-05,91.07,3.68,3.46,0.36,0,0.27,0.35,0,0.22,0.23,0,0,0,0,0.04,0,0,0,0,0.01,0.03,0,0.04,0.12,0,0,0.12
2011-06,91.61,3.1,3.44,0.33,0,0.27,0.34,0,0.27,0.23,0,0,0,0,0.05,0,0,0,0,0.01,0.02,0,0.04,0.18,0,0,0.12
2011-07,91.4,3.24,3.44,0.3,0,0.26,0.37,0,0.33,0.22,0,0,0,0,0.05,0,0,0,0,0.01,0.02,0,0.04,0.18,0,0,0.11
2011-08,91.33,3.16,3.53,0.3,0,0.27,0.36,0,0.39,0.22,0,0,0,0,0.06,0,0,0,0,0.01,0.02,0,0.04,0.18,0,0,0.11
2011-09,91.25,3.29,3.59,0.28,0,0.27,0.35,0,0.37,0.21,0,0,0,0,0.04,0,0,0,0,0.01,0.02,0,0.04,0.16,0,0,0.11
2011-10,91.2,3.36,3.59,0.26,0,0.27,0.37,0,0.38,0.21,0,0,0,0,0.05,0,0,0,0,0.01,0.02,0,0.04,0.12,0,0,0.12
2011-11,91.55,3.42,3.41,0.27,0,0.29,0.35,0,0.18,0.2,0,0,0,0,0.05,0,0,0,0,0.01,0.02,0,0.04,0.1,0,0,0.11
2011-12,91.77,3.34,3.31,0.26,0,0.32,0.33,0,0.19,0.2,0,0,0,0,0.05,0,0,0,0,0.01,0.03,0,0.04,0.05,0,0,0.11
2012-01,91.98,3.33,3.21,0.21,0,0.34,0.33,0,0.16,0.19,0,0,0,0,0.05,0,0,0,0,0.01,0.02,0,0.04,0.02,0,0,0.11
2012-02,92.2,3.24,3.2,0.24,0,0.35,0.32,0,0.02,0.18,0,0,0,0,0.05,0,0,0,0,0.01,0.03,0,0.04,0.01,0,0,0.11
2012-03,92.41,3.11,3.14,0.23,0,0.37,0.31,0,0.03,0.17,0,0,0,0,0.04,0,0,0,0,0.01,0.02,0,0.03,0.01,0,0,0.11
2012-04,92.14,3.26,3.24,0.24,0,0.36,0.31,0,0.03,0.17,0,0,0,0,0.05,0,0,0,0,0.01,0.02,0,0.04,0.01,0,0,0.12
2012-05,92.46,3.13,3.15,0.2,0,0.35,0.29,0,0.02,0.16,0,0,0,0,0.05,0,0,0,0,0.01,0.01,0,0.03,0.01,0,0,0.12
2012-06,92.24,3.02,2.95,0.21,0,0.33,0.28,0,0.02,0.16,0,0,0.26,0,0.05,0.21,0.01,0,0,0.01,0.01,0,0.03,0.01,0.07,0,0.12
2012-07,91.75,2.96,2.86,0.41,0,0.32,0.29,0,0.02,0.16,0,0,0.48,0,0.05,0.37,0.01,0,0,0.01,0.02,0,0.03,0,0.12,0,0.12
2012-08,91.64,2.95,2.88,0.45,0.04,0.31,0.29,0.01,0.02,0.17,0,0,0.53,0,0.05,0.37,0,0,0,0.01,0.01,0,0.03,0,0.11,0,0.12
2012-09,91.63,2.9,2.83,0.44,0.07,0.31,0.3,0.03,0.02,0.18,0.02,0,0.54,0,0.05,0.37,0,0,0,0.01,0.01,0,0.03,0,0.13,0,0.11
2012-10,91.26,3.12,2.88,0.5,0.12,0.34,0.27,0.01,0.02,0.17,0.06,0,0.53,0,0.05,0.37,0,0,0,0.01,0.02,0,0.03,0,0.14,0,0.1
2012-11,91.28,3.06,2.83,0.53,0.13,0.33,0.26,0,0.02,0.16,0.06,0,0.54,0,0.05,0.4,0,0,0,0.02,0.02,0,0.03,0,0.16,0,0.1
2012-12,91.05,2.98,2.89,0.61,0.16,0.32,0.39,0,0.02,0.17,0.09,0,0.48,0,0.05,0.44,0,0,0,0.02,0.02,0,0.03,0,0.16,0,0.09
2013-01,91,2.92,2.94,0.6,0.21,0.33,0.42,0,0.03,0.18,0.1,0,0.42,0,0.06,0.44,0,0,0,0.02,0.02,0,0.03,0,0.16,0,0.09
2013-02,90.24,3.28,3.22,0.73,0.23,0.38,0.42,0,0.04,0.19,0.16,0,0.34,0,0.06,0.39,0,0,0,0.03,0.02,0,0.03,0,0.15,0,0.08
2013-03,90.51,3.26,3.23,0.87,0.22,0.38,0.16,0,0.04,0.17,0.24,0,0.25,0,0.07,0.32,0,0,0,0.03,0.02,0,0.03,0,0.11,0,0.08
2013-04,90.78,3.29,3.13,0.84,0.25,0.34,0.12,0,0.04,0.16,0.23,0,0.23,0,0.06,0.27,0.01,0,0,0.04,0.03,0,0.02,0,0.09,0,0.07
2013-05,90.86,3.4,2.99,0.86,0.27,0.3,0.12,0,0.06,0.14,0.23,0,0.23,0,0.06,0.23,0,0,0,0.03,0.03,0,0.02,0,0.04,0,0.1
2013-06,90.59,3.44,3,0.95,0.28,0.31,0.13,0.02,0.11,0.16,0.21,0,0.26,0,0.07,0.2,0,0,0,0.04,0.02,0,0.02,0,0.05,0,0.13
2013-07,90.54,3.51,3.06,0.98,0.19,0.32,0.13,0.01,0.16,0.18,0.19,0,0.24,0,0.06,0.18,0,0,0,0.06,0.03,0,0.02,0,0.05,0,0.07
2013-08,90.77,3.41,2.97,1,0.24,0.34,0.12,0.01,0.19,0.17,0.14,0,0.21,0,0.06,0.15,0,0,0,0.08,0.03,0,0.02,0,0.04,0,0.07
2013-09,90.4,3.62,3.08,0.96,0.27,0.36,0.12,0.05,0.24,0.16,0.14,0,0.17,0,0.06,0.12,0,0,0,0.1,0.03,0,0.02,0,0.03,0,0.07
2013-10,88.73,3.48,3.33,0.9,0.25,0.34,0.62,0.03,0.24,0.14,0.58,0.06,0.12,0,0.05,0.1,0,0.1,0,0.08,0.02,0,0.02,0.1,0.02,0,0.67
2013-11,89.04,3.4,3.3,0.9,0.28,0.34,0.62,0.02,0.21,0.14,0.51,0.07,0.09,0,0.05,0.09,0,0.12,0,0.09,0.02,0,0.02,0.08,0.02,0,0.58
2013-12,89.41,3.39,3.21,0.87,0.3,0.32,0.49,0.01,0.2,0.14,0.48,0.09,0.05,0,0.05,0.08,0,0.11,0,0.13,0.02,0,0.02,0.07,0.02,0,0.55
2014-01,90.11,3.51,2.72,0.81,0.31,0.32,0.49,0.02,0.22,0.15,0.38,0.08,0.04,0,0.05,0.07,0,0.11,0,0.11,0.01,0,0.02,0.06,0.02,0,0.41
2014-02,90.11,3.58,2.72,0.87,0.29,0.32,0.5,0.03,0.21,0.14,0.35,0.09,0.03,0,0.05,0.06,0,0.1,0,0.11,0.02,0,0.02,0.05,0.01,0,0.34
2014-03,89.27,3.66,3.39,0.88,0.34,0.32,0.55,0.06,0.19,0.22,0.37,0.09,0.03,0,0.05,0.05,0,0.09,0,0.07,0.02,0,0.02,0.05,0.01,0,0.3
2014-04,89.73,3.56,3.32,0.6,0.48,0.3,0.54,0.06,0.16,0.17,0.34,0.07,0.03,0,0.05,0.04,0,0.08,0,0.08,0.02,0,0.02,0.04,0.01,0,0.3
2014-05,90.02,3.58,3.47,0.48,0.42,0.28,0.53,0.07,0.2,0.14,0.13,0.06,0.03,0,0.06,0.04,0,0.07,0,0.07,0.02,0,0.02,0.04,0.01,0,0.26
2014-06,90.12,3.65,3.57,0.45,0.33,0.29,0.51,0.06,0.21,0.13,0.11,0.06,0.02,0,0.05,0.03,0,0.07,0,0.06,0.02,0,0.01,0.03,0.01,0,0.21
2014-07,89.47,3.84,3.99,0.52,0.32,0.3,0.52,0.03,0.19,0.13,0.11,0.07,0.02,0,0.05,0.03,0,0.07,0,0.06,0.02,0,0.02,0.03,0.01,0,0.21
2014-08,89.68,3.74,3.92,0.52,0.36,0.29,0.47,0.03,0.18,0.13,0.11,0.08,0.02,0,0.04,0.02,0,0.07,0,0.06,0.02,0,0.02,0.03,0.01,0,0.2
2014-09,89.77,3.75,3.95,0.51,0.3,0.3,0.47,0.04,0.17,0.13,0.11,0.08,0.02,0,0.04,0,0,0.07,0,0.04,0.01,0,0.01,0.03,0.01,0,0.2
2014-10,89.99,3.6,3.88,0.49,0.32,0.32,0.46,0.05,0.17,0.12,0.1,0.08,0.02,0,0.04,0,0.02,0.07,0,0.03,0.01,0,0.02,0.03,0.01,0,0.18
2014-11,90.08,3.52,3.78,0.54,0.34,0.32,0.51,0.04,0.15,0.12,0.11,0.09,0.01,0,0.04,0,0.02,0.07,0,0.04,0.01,0,0.01,0.02,0.01,0,0.17
2014-12,89.41,3.65,4.22,0.63,0.29,0.32,0.54,0.04,0.15,0.11,0.12,0.09,0.01,0,0.04,0,0.03,0.07,0,0.05,0.01,0,0.01,0.02,0.01,0,0.17
2015-01,89.62,3.61,4.19,0.63,0.27,0.31,0.51,0.06,0.17,0.11,0.02,0.08,0.01,0,0.05,0,0.03,0.07,0,0.04,0.01,0,0.02,0.02,0.01,0,0.17
2015-02,89.47,3.62,4.11,0.82,0.22,0.33,0.53,0.06,0.18,0.11,0.06,0.09,0.01,0,0.05,0,0.02,0.08,0,0.05,0.01,0,0.02,0.02,0.01,0,0.16
2015-03,89.52,3.48,3.96,0.89,0.22,0.33,0.57,0.09,0.16,0.1,0.14,0.11,0.01,0,0.05,0,0.04,0.08,0,0.05,0.01,0,0.02,0.02,0,0,0.15
2015-04,90.01,3.21,3.73,0.82,0.36,0.31,0.54,0.12,0.15,0.1,0.15,0.11,0.01,0,0.05,0,0.03,0.08,0,0.05,0.01,0,0.01,0.01,0,0,0.15
2015-05,90.24,3.04,3.56,0.91,0.44,0.28,0.48,0.12,0.17,0.1,0.21,0.1,0.01,0,0.05,0,0.03,0.07,0,0.04,0.01,0,0.01,0.01,0,0,0.13
2015-06,90.78,2.89,3.32,1.01,0.42,0.29,0.34,0.13,0.18,0.1,0.16,0.06,0.01,0,0.05,0,0.02,0.07,0,0.04,0.01,0,0.01,0.01,0,0,0.11
2015-07,90.94,2.51,3.3,1.2,0.52,0.3,0.34,0.09,0.19,0.09,0.13,0.06,0.01,0,0.05,0,0.03,0.06,0,0.03,0.01,0,0.01,0.01,0,0,0.12
2015-08,91.23,2.56,2.97,1.37,0.48,0.28,0.31,0.12,0.17,0.08,0.09,0.06,0,0,0.05,0,0.03,0.05,0,0.02,0.01,0,0.01,0.01,0,0,0.09
2015-09,91.31,2.75,2.89,1.11,0.52,0.31,0.3,0.13,0.16,0.08,0.1,0.07,0,0,0.05,0,0.02,0.06,0,0.02,0.01,0.01,0.01,0.01,0,0,0.09
2015-10,91.55,2.76,2.84,0.95,0.47,0.35,0.27,0.13,0.17,0.08,0.1,0.05,0,0,0.05,0,0.03,0.06,0,0.02,0.01,0.02,0.01,0.01,0,0,0.07
2015-11,91.5,2.82,2.96,0.89,0.4,0.38,0.24,0.12,0.17,0.08,0.1,0.05,0,0,0.04,0,0.04,0.07,0,0.02,0.01,0.01,0.01,0.01,0,0,0.06
2015-12,91.1,3.05,2.99,0.97,0.39,0.39,0.2,0.13,0.18,0.08,0.11,0.06,0,0.08,0.04,0,0.03,0.06,0,0.02,0.01,0.02,0.01,0.01,0,0,0.06
2016-01,91.01,3.16,2.96,0.92,0.4,0.34,0.18,0.12,0.23,0.12,0.11,0.06,0,0.08,0.04,0,0.04,0.06,0,0.02,0.01,0.01,0.01,0.01,0,0,0.08
2016-02,91.13,3.09,2.97,1,0.34,0.38,0.17,0.12,0.17,0.12,0.1,0.05,0,0.06,0.04,0,0.04,0.06,0,0.02,0.01,0.01,0.01,0.01,0,0,0.09
2016-03,91.71,2.84,2.75,1.01,0.37,0.36,0.15,0.11,0.08,0.11,0.11,0.05,0,0.03,0.04,0,0.06,0.06,0,0.02,0.01,0.01,0.01,0.01,0,0,0.08
2016-04,91.77,2.89,2.85,0.93,0.33,0.34,0.09,0.11,0.08,0.11,0.12,0.05,0,0.05,0.04,0,0.06,0.06,0,0.01,0.01,0.01,0.01,0,0,0,0.07
2016-05,91.76,2.8,2.88,1.03,0.33,0.32,0.08,0.11,0.07,0.1,0.11,0.06,0,0.09,0.04,0,0.05,0.06,0,0.01,0.01,0.01,0.01,0,0,0,0.06
2016-06,91.89,2.73,2.77,1.11,0.29,0.34,0.07,0.12,0.08,0.09,0.12,0.06,0,0.08,0.04,0,0.04,0.05,0,0.01,0.01,0.01,0.01,0,0,0,0.07
2016-07,91.7,2.6,2.77,1.4,0.34,0.32,0.06,0.12,0.09,0.09,0.13,0.05,0,0.09,0.04,0,0.03,0.05,0,0.01,0.01,0.01,0.01,0,0,0,0.06
2016-08,92.12,2.58,2.61,1.17,0.35,0.33,0.05,0.12,0.09,0.09,0.12,0.05,0,0.09,0.03,0,0.03,0.04,0,0.01,0.02,0.01,0.01,0,0,0,0.06
2016-09,92.54,2.62,2.4,1,0.33,0.32,0.05,0.11,0.07,0.08,0.13,0.06,0,0.09,0.03,0,0.03,0.04,0,0.01,0.01,0.01,0.01,0,0,0,0.05
2016-10,92.82,2.67,2.3,0.87,0.29,0.31,0.04,0.11,0.06,0.08,0.12,0.05,0,0.08,0.03,0,0.03,0.05,0,0.01,0.01,0.01,0.01,0,0,0,0.05
